District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Death Valley Unified (Inyo),Inyo,Unified School District,63,7.9,71.4,24,71.43,redacted,redacted,0,8,9,N/A,N/A,N/A,N/A,24969,2051,23865,254,12044,0,4300,4180
Leggett Valley Unified (Mendocino),Mendocino,Unified School District,127,0.8,44.1,22,100,redacted,redacted,0,9.6,10,48925,N/A,N/A,N/A,18972,905,19054,190,10899,0,2286,1769
Aromas/San Juan Unified (San Benito),San Benito,Unified School District,1229,31.7,58.8,28,93.75,98.7,77,0,21.6,10,62113,N/A,N/A,N/A,10177,759,10919,52,6382,0,854,756
Albany City Unified (Alameda),Alameda,Unified School District,3803,20.6,20.9,60,90.5,94,299,0,20.1,9,64980,N/A,N/A,N/A,9006,402,9485,95,6274,46,798,382
Warner Unified (San Diego),San Diego,Unified School District,288,11.1,72.2,51,75,90,18,0,14.3,N/A,52483,N/A,N/A,N/A,15656,1341,16256,80,8976,0,2359,1651
Manhattan Beach Unified (Los Angeles),Los Angeles,Unified School District,6716,0.9,3.1,39,97.29,88.7,510,0,23.8,10,68931,N/A,N/A,N/A,8147,534,8392,45,5411,0,532,561
Piedmont City Unified (Alameda),Alameda,Unified School District,2552,3,0,32,99.5,84.9,169,0,16.7,12,72710,N/A,N/A,N/A,11851,500,12356,118,8172,0,751,552
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3294,5.7,11.6,30,94.67,83.5,253,0,24.9,11,72423,N/A,N/A,N/A,7995,410,8552,22,4864,238,726,452
Palo Alto Unified (Santa Clara),Santa Clara,Unified School District,12205,10.2,8.3,50,94.62,82.2,751,0,18.3,9,85721,N/A,N/A,N/A,13406,555,13604,91,9218,10,700,826
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,23444,18.1,70.4,40,82.52,81.7,1441,0,26.3,9,62070,N/A,N/A,N/A,7215,355,7750,10,4608,3,366,648
Borrego Springs Unified (San Diego),San Diego,Unified School District,543,34.4,75,29,69.44,81.1,30,0,16.7,5,58044,N/A,N/A,N/A,14234,697,12513,76,8911,0,1052,1300
La Canada Unified (Los Angeles),Los Angeles,Unified School District,4062,5,1.4,43,95.18,80.3,253,0,22.8,11,68997,N/A,N/A,N/A,8233,282,8711,13,5367,12,490,571
Palos Verdes Peninsula Unified (Los Angeles),Los Angeles,Unified School District,11840,6.2,2.6,45,98.11,79,824,0,24.1,11,68904,N/A,N/A,N/A,8058,279,8155,212,5574,0,483,461
