District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Aromas/San Juan Unified (San Benito),San Benito,Unified School District,1170,29.1,57.3,34,97.44,100,74,0,20,10,64273,N/A,N/A,N/A,10245,494,10740,62,6332,0,830,808
Big Sur Unified (Monterey),Monterey,Unified School District,77,5.2,37.7,31,100,redacted,redacted,0,12.2,5,N/A,N/A,N/A,N/A,40367,3480,38405,0,21408,0,2079,2669
Warner Unified (San Diego),San Diego,Unified School District,284,7.7,86.6,52,91.67,100,16,0,14.9,5,N/A,N/A,N/A,N/A,15387,1212,15013,96,8053,0,3043,1729
Laguna Beach Unified (Orange),Orange,Unified School District,3045,3.2,9.4,21,96.06,99.2,242,0,21.4,10,N/A,N/A,N/A,N/A,13702,658,15483,370,8422,0,1385,1301
Calistoga Joint Unified (Napa),Napa,Unified School District,809,45,80,20,83.33,98.2,56,0,16.5,13,N/A,N/A,N/A,N/A,13689,1000,15201,337,8850,5,1450,805
Piedmont City Unified (Alameda),Alameda,Unified School District,2605,1.9,0,32,98.09,88.8,183,0,16.8,12,72061,N/A,N/A,N/A,12063,495,12140,131,8654,0,761,533
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,360,1.5,60.6,27,78.13,88.5,23,0,14.5,16,N/A,N/A,N/A,N/A,13431,932,13585,356,7548,0,1128,1432
Manhattan Beach Unified (Los Angeles),Los Angeles,Unified School District,6832,0.9,2.4,40,95.34,87.6,487,0,22.7,9,71555,N/A,N/A,N/A,8670,631,8486,48,5635,0,520,593
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,1542,4.9,34.4,41,86.61,87.4,90,0,24.9,10,69064,N/A,N/A,N/A,8869,379,8560,76,5075,0,945,968
Pasadena Unified (Los Angeles),Los Angeles,Unified School District,19540,20.6,64.9,43,82.79,82.9,1066,0,21.1,11,67304,N/A,N/A,N/A,9789,238,9803,37,5879,17,491,1106
Borrego Springs Unified (San Diego),San Diego,Unified School District,513,22.3,82.7,26,84.62,82.2,37,0,17.2,5,N/A,N/A,N/A,N/A,12488,251,15463,51,7747,0,1542,857
Palo Alto Unified (Santa Clara),Santa Clara,Unified School District,12357,10.2,8,51,93.52,82.1,721,0,18.1,9,88035,N/A,N/A,N/A,14035,542,14506,101,9612,10,728,890
La Canada Unified (Los Angeles),Los Angeles,Unified School District,4119,4.9,1.4,44,97.58,80.5,297,0,23,11,71131,N/A,N/A,N/A,8405,322,8547,19,5531,15,471,553
San Marino Unified (Los Angeles),Los Angeles,Unified School District,3146,5.7,2.8,44,99.32,80.3,236,0,22.2,12,71143,N/A,N/A,N/A,9895,588,11030,65,5943,66,1148,691
Palos Verdes Peninsula Unified (Los Angeles),Los Angeles,Unified School District,11873,6.4,3,45,98.8,79.3,847,0,24.2,11,69957,N/A,N/A,N/A,8075,265,8159,188,5517,0,447,503
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3415,5.6,11.7,48,96.98,76.8,222,0,24,10,70594,N/A,N/A,N/A,8294,679,8612,23,5118,189,791,484
Carmel Unified (Monterey),Monterey,Unified School District,2358,5.3,15.7,34,91.3,76.5,130,0,15.8,11,89303,N/A,N/A,N/A,17230,961,18936,0,10327,4,1507,1482
Davis Joint Unified (Yolo),Yolo,Unified School District,8599,8.9,22.1,46,97.45,75.8,547,0,21.8,13,66722,N/A,N/A,N/A,8731,417,8933,137,5672,23,604,696
Big Valley Joint Unified (Lassen),Lassen,Unified School District,200,5.4,18,23,100,73.3,11,0,16.9,14,46582,N/A,N/A,N/A,10409,731,11907,223,4631,0,862,1165
Pleasanton Unified (Alameda),Alameda,Unified School District,14932,5.5,6.2,47,95.25,69.3,846,0,24,12,85446,N/A,N/A,N/A,7838,328,8183,0,5634,0,478,382
Claremont Unified (Los Angeles),Los Angeles,Unified School District,7018,4.9,38.7,53,97.35,68.5,431,0,23.5,13,69745,N/A,N/A,N/A,7931,275,8502,99,4646,0,584,917
Poway Unified (San Diego),San Diego,Unified School District,35196,12,13.9,51,95.18,68.3,1756,0,28,14,72091,N/A,N/A,N/A,7565,272,7546,122,5045,11,385,661
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9667,12.2,17.7,37,98.27,67.9,586,0,24.5,14,82225,N/A,N/A,N/A,7313,214,7883,61,5024,0,513,473
South Pasadena Unified (Los Angeles),Los Angeles,Unified School District,4652,8.2,14.6,58,97.19,67.8,236,0,24.1,11,72695,N/A,N/A,N/A,7722,325,7886,86,5165,6,533,454
Rocklin Unified (Placer),Placer,Unified School District,12155,3.9,20.4,34,94.97,67.7,629,0,24.3,10,64719,N/A,N/A,N/A,6872,257,6999,72,4510,8,433,410
Santa Monica-Malibu Unified (Los Angeles),Los Angeles,Unified School District,11417,8.7,28.4,48,93.47,67.5,645,0,21.7,12,72767,N/A,N/A,N/A,10495,266,11563,73,6560,121,661,946
San Ramon Valley Unified (Contra Costa),Contra Costa,Unified School District,30757,4.9,3.4,49,98.42,67.2,1514,0,23.6,11,67587,N/A,N/A,N/A,7841,318,7882,97,5230,11,344,536
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,4515,6.7,5.6,30,95.02,66.5,335,0,17,13,N/A,N/A,N/A,N/A,12166,277,14281,185,7873,23,706,622
Carlsbad Unified (San Diego),San Diego,Unified School District,10956,7.4,23.5,42,94.85,65.1,449,0,26.1,13,70696,N/A,N/A,N/A,7360,220,7908,55,4702,10,447,660
Irvine Unified (Orange),Orange,Unified School District,29072,12.2,13.1,52,95.48,64.7,1391,0,26.4,13,73497,N/A,N/A,N/A,7577,322,8167,50,4898,19,272,747
Temple City Unified (Los Angeles),Los Angeles,Unified School District,5799,21.1,42.9,39,94.58,63.5,311,0,25.6,14,73319,N/A,N/A,N/A,6879,227,7483,12,4547,0,480,505
Dublin Unified (Alameda),Alameda,Unified School District,7325,5.7,9.2,59,95.55,63.3,261,0,22.3,9,75829,N/A,N/A,N/A,7845,193,8048,41,5199,0,496,457
Scotts Valley Unified (Santa Cruz),Santa Cruz,Unified School District,2479,1.7,14.6,28,97.87,62,119,0,23.1,12,58539,N/A,N/A,N/A,7309,285,7474,96,4798,1,529,413
Fremont Unified (Alameda),Alameda,Unified School District,33406,17.7,21.5,50,82.11,61.7,1429,0,23.3,13,78203,N/A,N/A,N/A,7732,286,7844,35,5391,16,318,397
Los Alamitos Unified (Orange),Orange,Unified School District,9912,1.8,12.9,48,97.18,60.8,514,0,27.3,14,83536,N/A,N/A,N/A,7198,250,8540,38,5095,(1),476,418
Golden Valley Unified (Madera),Madera,Unified School District,1967,5.5,40.2,38,86.63,60.1,95,0,22.6,7,58367,N/A,N/A,N/A,7839,397,7855,114,4644,0,694,614
Coronado Unified (San Diego),San Diego,Unified School District,3174,2.4,5.1,30,96.73,58.6,156,0,22.1,10,63954,N/A,N/A,N/A,9358,460,9649,112,5899,113,580,669
Oak Park Unified (Ventura),Ventura,Unified School District,4510,2.6,6,29,95.31,58.5,216,0,25,12,71382,N/A,N/A,N/A,7313,210,7420,59,5101,3,539,550
Pajaro Valley Unified (Santa Cruz),Santa Cruz,Unified School District,20001,43.1,75.5,21,88.64,57.7,610,0,25.1,10,55863,N/A,N/A,N/A,9653,475,9750,44,6078,1,388,922
Redondo Beach Unified (Los Angeles),Los Angeles,Unified School District,8967,5.4,20.3,52,90.74,56.9,363,0,24.9,11,70163,N/A,N/A,N/A,7572,220,7724,0,5047,13,411,645
Clovis Unified (Fresno),Fresno,Unified School District,39894,5.6,38.2,51,92.12,56.7,1480,0,24.7,13,61519,N/A,N/A,N/A,7655,438,7950,155,4806,0,435,665
Brea-Olinda Unified (Orange),Orange,Unified School District,5972,9.1,27.1,54,96.44,56.3,290,0,27.9,14,72343,N/A,N/A,N/A,7254,211,7380,47,4476,0,542,782
San Francisco Unified (San Francisco),San Francisco,Unified School District,56970,25.4,57.4,61,81.67,56.2,2206,0,18.2,12,64357,N/A,N/A,N/A,9479,436,11351,74,4981,0,555,844
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3324,29.2,39,40,88.74,55.4,113,0,23.6,13,65239,N/A,N/A,N/A,8560,191,9132,134,5335,15,576,732
Temecula Valley Unified (Riverside),Riverside,Unified School District,30337,5.1,20.1,51,93.98,55.4,1343,0,25.6,12,78077,N/A,N/A,N/A,7314,218,7379,44,5116,6,336,569
Castro Valley Unified (Alameda),Alameda,Unified School District,9210,7.9,19.3,65,94.91,54.8,406,0,23.3,11,69171,N/A,N/A,N/A,7662,311,7660,78,4944,42,507,631
