School Name,District Name (School),School Type (School),County Name (School)
Abraham Lincoln High (San Jose Unified),San Jose Unified,High School,Santa Clara
Abraham Lincoln Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Abraxis Charter (Santa Rosa High),Santa Rosa High,High School,Sonoma
Academies of Education and Empowerment at Carson High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Academies of the Antelope Valley (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Academy for Multilingual Arts and Science at Mervyn M. Dymally High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Academy of Careers and Exploration (Helendale Elementary),Helendale Elementary,High School,San Bernardino
Academy of Medical Arts at Carson High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Academy of Science and Engineering (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Academy of the Canyons (William S. Hart Union High),William S. Hart Union High,High School,Los Angeles
Acalanes High (Acalanes Union High),Acalanes Union High,High School,Contra Costa
Accelerated Charter High (Tulare Joint Union High),Tulare Joint Union High,High School,Tulare
ACE Charter High (East Side Union High),East Side Union High,High School,Santa Clara
Achieve Charter High (Butte County Office of Education),Butte County Office of Education,High School,Butte
Adelanto High (Victor Valley Union High),Victor Valley Union High,High School,San Bernardino
Adolfo Camarillo High (Oxnard Union High),Oxnard Union High,High School,Ventura
Adrian Wilcox High (Santa Clara Unified),Santa Clara Unified,High School,Santa Clara
Agoura High (Las Virgenes Unified),Las Virgenes Unified,High School,Los Angeles
Alain Leroy Locke College Preparatory Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alameda High (Alameda Unified),Alameda Unified,High School,Alameda
Albany High (Albany City Unified),Albany City Unified,High School,Alameda
"Albert Einstein Academy for Letters, Arts and Sciences (William S. Hart Union High)",William S. Hart Union High,High School,Los Angeles
Alexander Hamilton Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alhambra High (Alhambra Unified),Alhambra Unified,High School,Los Angeles
Alhambra Senior High (Martinez Unified),Martinez Unified,High School,Contra Costa
Alisal High (Salinas Union High),Salinas Union High,High School,Monterey
Aliso Niguel High (Capistrano Unified),Capistrano Unified,High School,Orange
Alliance Alice M. Baxter College-Ready High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Cindy and Bill Simon Technology Academy High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Collins Family College-Ready High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Dr. Olga Mohan High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Judy Ivie Burton Technology Academy High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Leichtman-Levine Family Foundation Environmental Science High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Marc & Eva Stern Math and Science (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Margaret M. Bloomfield Technology Academy High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Morgan McKinzie High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Patti And Peter Neuwirth Leadership Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Piera Barbaglia Shaheen Health Services Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Renee and Meyer Luskin Academy High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Susan and Eric Smidt Technology High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Ted K. Tajima High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alliance Tennenbaum Family Technology High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Alpaugh -Senior High (Alpaugh Unified),Alpaugh Unified,High School,Tulare
Alpha Cindy Avitia High (East Side Union High),East Side Union High,High School,Santa Clara
Alta Loma High (Chaffey Joint Union High),Chaffey Joint Union High,High School,San Bernardino
Alta Vista Innovation High (Lucerne Valley Unified),Lucerne Valley Unified,High School,San Bernardino
Alternatives in Action (Alameda Unified),Alameda Unified,High School,Alameda
Amador High (Amador County Unified),Amador County Unified,High School,Amador
Amador Valley High (Pleasanton Unified),Pleasanton Unified,High School,Alameda
American Canyon High (Napa Valley Unified),Napa Valley Unified,High School,Napa
American High (Fremont Unified),Fremont Unified,High School,Alameda
American Indian Public High (Oakland Unified),Oakland Unified,High School,Alameda
Anaheim High (Anaheim Union High),Anaheim Union High,High School,Orange
Analy High (West Sonoma County Union High),West Sonoma County Union High,High School,Sonoma
Anderson High (Anderson Union High),Anderson Union High,High School,Shasta
Anderson New Technology High (Anderson Union High),Anderson Union High,High School,Shasta
Anderson Valley Junior-Senior High (Anderson Valley Unified),Anderson Valley Unified,High School,Mendocino
Anderson W. Clark Magnet High (Glendale Unified),Glendale Unified,High School,Los Angeles
Andrew P. Hill High (East Side Union High),East Side Union High,High School,Santa Clara
Angelo Rodriguez High (Fairfield-Suisun Unified),Fairfield-Suisun Unified,High School,Solano
Animo City of Champions Charter High (Los Angeles County Office of Education),Los Angeles County Office of Education,High School,Los Angeles
Animo College Preparatory Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Animo Inglewood Charter High (Inglewood Unified),Inglewood Unified,High School,Los Angeles
Animo Jackie Robinson High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Animo Leadership High (Lennox),Lennox,High School,Los Angeles
Animo Pat Brown (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Animo Ralph Bunche Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Animo South Los Angeles Charter (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Animo Venice Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Animo Watts College Preparatory Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Ann Sobrato High (Morgan Hill Unified),Morgan Hill Unified,High School,Santa Clara
Antelope High (Roseville Joint Union High),Roseville Joint Union High,High School,Placer
Antelope Valley High (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Antioch High (Antioch Unified),Antioch Unified,High School,Contra Costa
Anzar High (Aromas - San Juan Unified),Aromas - San Juan Unified,High School,San Benito
APEX Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Apple Valley High (Apple Valley Unified),Apple Valley Unified,High School,San Bernardino
Applied Technology Center (Montebello Unified),Montebello Unified,High School,Los Angeles
Aptos High (Pajaro Valley Unified),Pajaro Valley Unified,High School,Santa Cruz
Aragon High (San Mateo Union High),San Mateo Union High,High School,San Mateo
Arcadia High (Arcadia Unified),Arcadia Unified,High School,Los Angeles
Arcata High (Northern Humboldt Union High),Northern Humboldt Union High,High School,Humboldt
"Architecture, Construction & Engineering Charter High (ACE) (Oxnard Union High)",Oxnard Union High,High School,Ventura
Argonaut High (Amador County Unified),Amador County Unified,High School,Amador
ARISE High (Oakland Unified),Oakland Unified,High School,Alameda
Arleta High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Arlington High (Riverside Unified),Riverside Unified,High School,Riverside
Armijo High (Fairfield-Suisun Unified),Fairfield-Suisun Unified,High School,Solano
Arnold O. Beckman High (Tustin Unified),Tustin Unified,High School,Orange
Arroyo Grande High (Lucia Mar Unified),Lucia Mar Unified,High School,San Luis Obispo
Arroyo High (El Monte Union High),El Monte Union High,High School,Los Angeles
Arroyo High (San Lorenzo Unified),San Lorenzo Unified,High School,Alameda
Arroyo Paseo Charter High (San Diego Unified),San Diego Unified,High School,San Diego
Arroyo Valley High (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
Artesia High (ABC Unified),ABC Unified,High School,Los Angeles
Arthur A. Benjamin Health Professions High (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
Arvin High (Kern High),Kern High,High School,Kern
Atascadero High (Atascadero Unified),Atascadero Unified,High School,San Luis Obispo
Atwater High (Merced Union High),Merced Union High,High School,Merced
Audeo Charter School III (Escondido Union High),Escondido Union High,High School,San Diego
Augustus F. Hawkins High A Critical Design and Gaming (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Augustus F. Hawkins High B Community Health Advocates (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
