School Name,District Name (School),County Name (School)
100 Black Men of the Bay Area Community (Oakland Unified),Oakland Unified,Alameda
21st Century Learning Institute (Beaumont Unified),Beaumont Unified,Riverside
A. E. Arnold Elementary (Cypress Elementary),Cypress Elementary,Orange
A. G. Currie Middle (Tustin Unified),Tustin Unified,Orange
A. J. Cook Elementary (Garden Grove Unified),Garden Grove Unified,Orange
A. J. Dorsa Elementary (Alum Rock Union Elementary),Alum Rock Union Elementary,Santa Clara
A. L. Conner Elementary (Kings Canyon Joint Unified),Kings Canyon Joint Unified,Fresno
A. M. Thomas Middle (Lost Hills Union Elementary),Lost Hills Union Elementary,Kern
A. M. Winn Waldorf-Inspired (Sacramento City Unified),Sacramento City Unified,Sacramento
Abbott Middle (San Mateo-Foster City),San Mateo-Foster City,San Mateo
Abby Reinke Elementary (Temecula Valley Unified),Temecula Valley Unified,Riverside
ABC Secondary (Alternative) (ABC Unified),ABC Unified,Los Angeles
Abernathy Collegiate Charter (Tehachapi Unified),Tehachapi Unified,Kern
Abraham Lincoln (Paramount Unified),Paramount Unified,Los Angeles
Abraham Lincoln Alternative (Southern Kern Unified),Southern Kern Unified,Kern
Abraham Lincoln Continuation (Riverside Unified),Riverside Unified,Riverside
Abraham Lincoln Elementary (Newport-Mesa Unified),Newport-Mesa Unified,Orange
Abraham Lincoln Elementary (Desert Sands Unified),Desert Sands Unified,Riverside
Abraham Lincoln Elementary (Santa Ana Unified),Santa Ana Unified,Orange
Abraham Lincoln Elementary (Santa Rosa Elementary),Santa Rosa Elementary,Sonoma
Abraham Lincoln Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
Abraham Lincoln Elementary (Colton Joint Unified),Colton Joint Unified,San Bernardino
Abraham Lincoln Elementary (Cupertino Union),Cupertino Union,Santa Clara
Abraham Lincoln Elementary (Glendale Unified),Glendale Unified,Los Angeles
Abraham Lincoln High (San Jose Unified),San Jose Unified,Santa Clara
Abraham Lincoln Middle (Selma Unified),Selma Unified,Fresno
Abraham Lincoln Senior High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Abraxas Continuation High (Poway Unified),Poway Unified,San Diego
Abraxis Charter (Santa Rosa High),Santa Rosa High,Sonoma
Acacia Elementary (Fullerton Elementary),Fullerton Elementary,Orange
Acacia Elementary (Conejo Valley Unified),Conejo Valley Unified,Ventura
Acacia Elementary Charter (New Jerusalem Elementary),New Jerusalem Elementary,San Joaquin
Acacia Middle (Hemet Unified),Hemet Unified,Riverside
Acacia Middle Charter (New Jerusalem Elementary),New Jerusalem Elementary,San Joaquin
Academia Avance Charter (Los Angeles County Office of Education),Los Angeles County Office of Education,Los Angeles
Academia Moderna (Los Angeles Unified),Los Angeles Unified,Los Angeles
Academies of Education and Empowerment at Carson High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Academies of the Antelope Valley (Antelope Valley Union High),Antelope Valley Union High,Los Angeles
Academy for Academic Excellence (Apple Valley Unified),Apple Valley Unified,San Bernardino
Academy for Change (Chico Unified),Chico Unified,Butte
Academy for Enriched Sciences (Los Angeles Unified),Los Angeles Unified,Los Angeles
Academy for Multilingual Arts and Science at Mervyn M. Dymally High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Academy of Alameda Elementary (Alameda Unified),Alameda Unified,Alameda
Academy of Arts and Science San Joaquin (New Jerusalem Elementary),New Jerusalem Elementary,San Joaquin
Academy of Arts and Sciences (San Francisco Unified),San Francisco Unified,San Francisco
Academy of Arts and Sciences: Del Mar Elementary (K-5) (Mountain Empire Unified),Mountain Empire Unified,San Diego
Academy of Arts and Sciences: Del Mar Middle & High (6-12) (Mountain Empire Unified),Mountain Empire Unified,San Diego
Academy of Arts and Sciences: El Cajon Elementary (K-5) (Mountain Empire Unified),Mountain Empire Unified,San Diego
Academy of Arts and Sciences: El Cajon Middle and High (6-12) (Mountain Empire Unified),Mountain Empire Unified,San Diego
Academy of Arts and Sciences: Fresno (Orange Center),Orange Center,Fresno
Academy of Arts and Sciences: Los Angeles (9-12) (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,Los Angeles
Academy of Arts and Sciences: Los Angeles (K-8) (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,Los Angeles
Academy of Arts and Sciences: Oxnard & Ventura (Mupu Elementary),Mupu Elementary,Ventura
Academy of Arts and Sciences: Sonoma (Cotati-Rohnert Park Unified),Cotati-Rohnert Park Unified,Sonoma
Academy of Arts and Sciences: Thousand Oaks & Simi Valley (Mupu Elementary),Mupu Elementary,Ventura
Academy of Careers and Exploration (Helendale Elementary),Helendale Elementary,San Bernardino
Academy of Environmental & Social Policy (ESP) at Roosevelt High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Academy of Medical Arts at Carson High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Academy of Personalized Learning (Gateway Unified),Gateway Unified,Shasta
Academy of Science and Engineering (Los Angeles Unified),Los Angeles Unified,Los Angeles
Academy of Technology & Leadership at Saticoy (Ventura Unified),Ventura Unified,Ventura
Academy of the Canyons (William S. Hart Union High),William S. Hart Union High,Los Angeles
Academy of the Redwoods (Fortuna Union High),Fortuna Union High,Humboldt
Acalanes Center for Independent Study (Acalanes Union High),Acalanes Union High,Contra Costa
Acalanes High (Acalanes Union High),Acalanes Union High,Contra Costa
Accelerated (Los Angeles Unified),Los Angeles Unified,Los Angeles
Accelerated Achievement Academy (Ukiah Unified),Ukiah Unified,Mendocino
Accelerated Achievement Academy (Hollister),Hollister,San Benito
Accelerated Elementary Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Access County Community (Orange County Department of Education),Orange County Department of Education,Orange
Access Juvenile Hall (Orange County Department of Education),Orange County Department of Education,Orange
ACE Alum Rock (Alum Rock Union Elementary),Alum Rock Union Elementary,Santa Clara
ACE Charter High (East Side Union High),East Side Union High,Santa Clara
ACE Charter Middle (San Jose Unified),San Jose Unified,Santa Clara
ACE Empower Academy (Santa Clara County Office of Education),Santa Clara County Office of Education,Santa Clara
ACE Franklin McKinley (Franklin-McKinley Elementary),Franklin-McKinley Elementary,Santa Clara
Achieve Academy (Oakland Unified),Oakland Unified,Alameda
Achieve Charter School of Paradise Inc (Paradise Unified),Paradise Unified,Butte
ACORN Woodland Elementary (Oakland Unified),Oakland Unified,Alameda
Ada Clegg Elementary (Westminster),Westminster,Orange
Ada Givens Elementary (Merced City Elementary),Merced City Elementary,Merced
Ada S. Nelson Elementary (Los Nietos),Los Nietos,Los Angeles
Ada W. Harris Elementary (Cardiff Elementary),Cardiff Elementary,San Diego
Adaline E. Kent Middle (Kentfield Elementary),Kentfield Elementary,Marin
Adam (William Laird) Elementary (Santa Maria-Bonita),Santa Maria-Bonita,Santa Barbara
Adams (J. Douglas) Middle (Brentwood Union Elementary),Brentwood Union Elementary,Contra Costa
Adams Elementary (Newport-Mesa Unified),Newport-Mesa Unified,Orange
Adams Elementary (San Diego Unified),San Diego Unified,San Diego
Adams Elementary (Santa Barbara Unified),Santa Barbara Unified,Santa Barbara
Adams Elementary (Riverside Unified),Riverside Unified,Riverside
Adams Elementary (Santa Ana Unified),Santa Ana Unified,Orange
Adams Elementary (Stockton Unified),Stockton Unified,San Joaquin
Adams Middle (Redondo Beach Unified),Redondo Beach Unified,Los Angeles
Addams Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Addams Elementary (Fresno Unified),Fresno Unified,Fresno
Addison Elementary (Palo Alto Unified),Palo Alto Unified,Santa Clara
Adelante Charter (Santa Barbara Unified),Santa Barbara Unified,Santa Barbara
Adelante Dual Language Academy (Alum Rock Union Elementary),Alum Rock Union Elementary,Santa Clara
Adelante High (Riverbank Unified),Riverbank Unified,Stanislaus
Adelante High (Reef-Sunset Unified),Reef-Sunset Unified,Kings
Adelante High (Continuation) (Roseville Joint Union High),Roseville Joint Union High,Placer
Adelante Spanish Immersion (Redwood City Elementary),Redwood City Elementary,San Mateo
Adelanto Elementary (Adelanto Elementary),Adelanto Elementary,San Bernardino
Adelanto High (Victor Valley Union High),Victor Valley Union High,San Bernardino
Adele Harrison Middle (Sonoma Valley Unified),Sonoma Valley Unified,Sonoma
Adobe Bluffs Elementary (Poway Unified),Poway Unified,San Diego
Adolfo Camarillo High (Oxnard Union High),Oxnard Union High,Ventura
Adrian Wilcox High (Santa Clara Unified),Santa Clara Unified,Santa Clara
Adult Transition Program (Bonita Unified),Bonita Unified,Los Angeles
Aeolian Elementary (Los Nietos),Los Nietos,Los Angeles
Afflerbaugh-Paige Camp (Los Angeles County Office of Education),Los Angeles County Office of Education,Los Angeles
Aggeler Community Day (Los Angeles Unified),Los Angeles Unified,Los Angeles
Agnes J. Johnson  Elementary (Southern Humboldt Joint Unified),Southern Humboldt Joint Unified,Humboldt
Agnes L. Smith Elementary (Huntington Beach City Elementary),Huntington Beach City Elementary,Orange
Agnes M. Baptist Elementary (Stanislaus Union Elementary),Stanislaus Union Elementary,Stanislaus
Agnes Ware Stanley Elementary (Garden Grove Unified),Garden Grove Unified,Orange
Agoura High (Las Virgenes Unified),Las Virgenes Unified,Los Angeles
Agua Caliente Elementary (Palm Springs Unified),Palm Springs Unified,Riverside
Agua Dulce Elementary (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,Los Angeles
Ahwahnee High (Yosemite Unified),Yosemite Unified,Madera
Ahwahnee Middle (Fresno Unified),Fresno Unified,Fresno
Aileen Colburn Elementary (Atwater Elementary),Atwater Elementary,Merced
Akers Elementary (Central Union Elementary),Central Union Elementary,Kings
Akira Yokomi Elementary (Fresno Unified),Fresno Unified,Fresno
Alain Leroy Locke College Prep Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alameda Community Learning Center (Alameda Unified),Alameda Unified,Alameda
Alameda County Community (Alameda County Office of Education),Alameda County Office of Education,Alameda
Alameda County Juvenile Hall/Court (Alameda County Office of Education),Alameda County Office of Education,Alameda
Alameda County Special Education (Alameda County Office of Education),Alameda County Office of Education,Alameda
Alameda Elementary (Downey Unified),Downey Unified,Los Angeles
Alameda High (Alameda Unified),Alameda Unified,Alameda
Alameda Science and Technology Institute (Alameda Unified),Alameda Unified,Alameda
Alamitos Intermediate (Garden Grove Unified),Garden Grove Unified,Orange
